grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.454936606Z level=info msg="Executing migration" id="create index UQE_dashboard_snapshot_key - v5"
grafana  | logger=migrator t=2025-01-06T19:38:07.455346366Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_snapshot_key - v5" duration=409.805µs
grafana  | logger=migrator t=2025-01-06T19:38:07.459307803Z level=info msg="Executing migration" id="create index UQE_dashboard_snapshot_delete_key - v5"
grafana  | logger=migrator t=2025-01-06T19:38:07.459838623Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_snapshot_delete_key - v5" duration=530.608µs
grafana  | logger=migrator t=2025-01-06T19:38:07.462021477Z level=info msg="Executing migration" id="create index IDX_dashboard_snapshot_user_id - v5"
grafana  | logger=migrator t=2025-01-06T19:38:07.462571842Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_snapshot_user_id - v5" duration=550.208µs
grafana  | logger=migrator t=2025-01-06T19:38:07.464677479Z level=info msg="Executing migration" id="alter dashboard_snapshot to mediumtext v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.464749272Z level=info msg="Migration successfully executed" id="alter dashboard_snapshot to mediumtext v2" duration=72.178µs
grafana  | logger=migrator t=2025-01-06T19:38:07.467230839Z level=info msg="Executing migration" id="Update dashboard_snapshot table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.467266813Z level=info msg="Migration successfully executed" id="Update dashboard_snapshot table charset" duration=36.546µs
grafana  | logger=migrator t=2025-01-06T19:38:07.46961299Z level=info msg="Executing migration" id="Add column external_delete_url to dashboard_snapshots table"
grafana  | logger=migrator t=2025-01-06T19:38:07.471073835Z level=info msg="Migration successfully executed" id="Add column external_delete_url to dashboard_snapshots table" duration=1.453447ms
grafana  | logger=migrator t=2025-01-06T19:38:07.473014386Z level=info msg="Executing migration" id="Add encrypted dashboard json column"
grafana  | logger=migrator t=2025-01-06T19:38:07.47435269Z level=info msg="Migration successfully executed" id="Add encrypted dashboard json column" duration=1.338119ms
grafana  | logger=migrator t=2025-01-06T19:38:07.476524821Z level=info msg="Executing migration" id="Change dashboard_encrypted column to MEDIUMBLOB"
grafana  | logger=migrator t=2025-01-06T19:38:07.476578705Z level=info msg="Migration successfully executed" id="Change dashboard_encrypted column to MEDIUMBLOB" duration=47.474µs
grafana  | logger=migrator t=2025-01-06T19:38:07.478798065Z level=info msg="Executing migration" id="create quota table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.479278016Z level=info msg="Migration successfully executed" id="create quota table v1" duration=479.666µs
grafana  | logger=migrator t=2025-01-06T19:38:07.48327463Z level=info msg="Executing migration" id="create index UQE_quota_org_id_user_id_target - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.483900154Z level=info msg="Migration successfully executed" id="create index UQE_quota_org_id_user_id_target - v1" duration=625.125µs
grafana  | logger=migrator t=2025-01-06T19:38:07.48621707Z level=info msg="Executing migration" id="Update quota table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.486247047Z level=info msg="Migration successfully executed" id="Update quota table charset" duration=25.541µs
grafana  | logger=migrator t=2025-01-06T19:38:07.488234868Z level=info msg="Executing migration" id="create plugin_setting table"
grafana  | logger=migrator t=2025-01-06T19:38:07.488754977Z level=info msg="Migration successfully executed" id="create plugin_setting table" duration=520.05µs
grafana  | logger=migrator t=2025-01-06T19:38:07.491103272Z level=info msg="Executing migration" id="create index UQE_plugin_setting_org_id_plugin_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.491768972Z level=info msg="Migration successfully executed" id="create index UQE_plugin_setting_org_id_plugin_id - v1" duration=665.043µs
grafana  | logger=migrator t=2025-01-06T19:38:07.49399005Z level=info msg="Executing migration" id="Add column plugin_version to plugin_settings"
grafana  | logger=migrator t=2025-01-06T19:38:07.495491526Z level=info msg="Migration successfully executed" id="Add column plugin_version to plugin_settings" duration=1.501409ms
grafana  | logger=migrator t=2025-01-06T19:38:07.497824635Z level=info msg="Executing migration" id="Update plugin_setting table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.497858523Z level=info msg="Migration successfully executed" id="Update plugin_setting table charset" duration=35.581µs
grafana  | logger=migrator t=2025-01-06T19:38:07.499842254Z level=info msg="Executing migration" id="create session table"
grafana  | logger=migrator t=2025-01-06T19:38:07.500311518Z level=info msg="Migration successfully executed" id="create session table" duration=469.023µs
grafana  | logger=migrator t=2025-01-06T19:38:07.502519717Z level=info msg="Executing migration" id="Drop old table playlist table"
grafana  | logger=migrator t=2025-01-06T19:38:07.502589694Z level=info msg="Migration successfully executed" id="Drop old table playlist table" duration=62.486µs
grafana  | logger=migrator t=2025-01-06T19:38:07.504605491Z level=info msg="Executing migration" id="Drop old table playlist_item table"
grafana  | logger=migrator t=2025-01-06T19:38:07.504682292Z level=info msg="Migration successfully executed" id="Drop old table playlist_item table" duration=77.337µs
grafana  | logger=migrator t=2025-01-06T19:38:07.507264234Z level=info msg="Executing migration" id="create playlist table v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.507813652Z level=info msg="Migration successfully executed" id="create playlist table v2" duration=557.619µs
grafana  | logger=migrator t=2025-01-06T19:38:07.51005248Z level=info msg="Executing migration" id="create playlist item table v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.510547787Z level=info msg="Migration successfully executed" id="create playlist item table v2" duration=495.08µs
grafana  | logger=migrator t=2025-01-06T19:38:07.512663961Z level=info msg="Executing migration" id="Update playlist table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.512701233Z level=info msg="Migration successfully executed" id="Update playlist table charset" duration=39.214µs
grafana  | logger=migrator t=2025-01-06T19:38:07.514890674Z level=info msg="Executing migration" id="Update playlist_item table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.514914886Z level=info msg="Migration successfully executed" id="Update playlist_item table charset" duration=24.797µs
grafana  | logger=migrator t=2025-01-06T19:38:07.516869765Z level=info msg="Executing migration" id="Add playlist column created_at"
grafana  | logger=migrator t=2025-01-06T19:38:07.518548098Z level=info msg="Migration successfully executed" id="Add playlist column created_at" duration=1.678055ms
grafana  | logger=migrator t=2025-01-06T19:38:07.521031964Z level=info msg="Executing migration" id="Add playlist column updated_at"
grafana  | logger=migrator t=2025-01-06T19:38:07.522494144Z level=info msg="Migration successfully executed" id="Add playlist column updated_at" duration=1.462066ms
grafana  | logger=migrator t=2025-01-06T19:38:07.524979374Z level=info msg="Executing migration" id="drop preferences table v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.525036175Z level=info msg="Migration successfully executed" id="drop preferences table v2" duration=57.379µs
grafana  | logger=migrator t=2025-01-06T19:38:07.527452025Z level=info msg="Executing migration" id="drop preferences table v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.527509255Z level=info msg="Migration successfully executed" id="drop preferences table v3" duration=57.652µs
grafana  | logger=migrator t=2025-01-06T19:38:07.529872348Z level=info msg="Executing migration" id="create preferences table v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.530461368Z level=info msg="Migration successfully executed" id="create preferences table v3" duration=581.423µs
grafana  | logger=migrator t=2025-01-06T19:38:07.532622517Z level=info msg="Executing migration" id="Update preferences table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.532650923Z level=info msg="Migration successfully executed" id="Update preferences table charset" duration=29.148µs
grafana  | logger=migrator t=2025-01-06T19:38:07.535097669Z level=info msg="Executing migration" id="Add column team_id in preferences"
grafana  | logger=migrator t=2025-01-06T19:38:07.536688906Z level=info msg="Migration successfully executed" id="Add column team_id in preferences" duration=1.590973ms
grafana  | logger=migrator t=2025-01-06T19:38:07.539040864Z level=info msg="Executing migration" id="Update team_id column values in preferences"
grafana  | logger=migrator t=2025-01-06T19:38:07.539143967Z level=info msg="Migration successfully executed" id="Update team_id column values in preferences" duration=103.641µs
grafana  | logger=migrator t=2025-01-06T19:38:07.541071956Z level=info msg="Executing migration" id="Add column week_start in preferences"
grafana  | logger=migrator t=2025-01-06T19:38:07.54254538Z level=info msg="Migration successfully executed" id="Add column week_start in preferences" duration=1.47298ms
grafana  | logger=migrator t=2025-01-06T19:38:07.544914409Z level=info msg="Executing migration" id="Add column preferences.json_data"
grafana  | logger=migrator t=2025-01-06T19:38:07.546617928Z level=info msg="Migration successfully executed" id="Add column preferences.json_data" duration=1.703726ms
grafana  | logger=migrator t=2025-01-06T19:38:07.549656136Z level=info msg="Executing migration" id="alter preferences.json_data to mediumtext v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.549759122Z level=info msg="Migration successfully executed" id="alter preferences.json_data to mediumtext v1" duration=103.95µs
grafana  | logger=migrator t=2025-01-06T19:38:07.552217944Z level=info msg="Executing migration" id="Add preferences index org_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.553079714Z level=info msg="Migration successfully executed" id="Add preferences index org_id" duration=861.637µs
grafana  | logger=migrator t=2025-01-06T19:38:07.556401206Z level=info msg="Executing migration" id="Add preferences index user_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.557377212Z level=info msg="Migration successfully executed" id="Add preferences index user_id" duration=979.228µs
grafana  | logger=migrator t=2025-01-06T19:38:07.560807551Z level=info msg="Executing migration" id="create alert table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.561883736Z level=info msg="Migration successfully executed" id="create alert table v1" duration=1.076024ms
grafana  | logger=migrator t=2025-01-06T19:38:07.565082104Z level=info msg="Executing migration" id="add index alert org_id & id "
grafana  | logger=migrator t=2025-01-06T19:38:07.565821048Z level=info msg="Migration successfully executed" id="add index alert org_id & id " duration=738.885µs
grafana  | logger=migrator t=2025-01-06T19:38:07.568509091Z level=info msg="Executing migration" id="add index alert state"
grafana  | logger=migrator t=2025-01-06T19:38:07.569198991Z level=info msg="Migration successfully executed" id="add index alert state" duration=688.323µs
grafana  | logger=migrator t=2025-01-06T19:38:07.57183214Z level=info msg="Executing migration" id="add index alert dashboard_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.572524465Z level=info msg="Migration successfully executed" id="add index alert dashboard_id" duration=691.861µs
grafana  | logger=migrator t=2025-01-06T19:38:07.580827643Z level=info msg="Executing migration" id="Create alert_rule_tag table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.581365473Z level=info msg="Migration successfully executed" id="Create alert_rule_tag table v1" duration=537.833µs
grafana  | logger=migrator t=2025-01-06T19:38:07.583936463Z level=info msg="Executing migration" id="Add unique index alert_rule_tag.alert_id_tag_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.584780192Z level=info msg="Migration successfully executed" id="Add unique index alert_rule_tag.alert_id_tag_id" duration=842.932µs
grafana  | logger=migrator t=2025-01-06T19:38:07.587990115Z level=info msg="Executing migration" id="drop index UQE_alert_rule_tag_alert_id_tag_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.588865432Z level=info msg="Migration successfully executed" id="drop index UQE_alert_rule_tag_alert_id_tag_id - v1" duration=875.281µs
grafana  | logger=migrator t=2025-01-06T19:38:07.591706045Z level=info msg="Executing migration" id="Rename table alert_rule_tag to alert_rule_tag_v1 - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.596903526Z level=info msg="Migration successfully executed" id="Rename table alert_rule_tag to alert_rule_tag_v1 - v1" duration=5.197893ms
grafana  | logger=migrator t=2025-01-06T19:38:07.599052762Z level=info msg="Executing migration" id="Create alert_rule_tag table v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.599519608Z level=info msg="Migration successfully executed" id="Create alert_rule_tag table v2" duration=466.652µs
grafana  | logger=migrator t=2025-01-06T19:38:07.601791849Z level=info msg="Executing migration" id="create index UQE_alert_rule_tag_alert_id_tag_id - Add unique index alert_rule_tag.alert_id_tag_id V2"
grafana  | logger=migrator t=2025-01-06T19:38:07.602305159Z level=info msg="Migration successfully executed" id="create index UQE_alert_rule_tag_alert_id_tag_id - Add unique index alert_rule_tag.alert_id_tag_id V2" duration=513.307µs
grafana  | logger=migrator t=2025-01-06T19:38:07.604332242Z level=info msg="Executing migration" id="copy alert_rule_tag v1 to v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.604531809Z level=info msg="Migration successfully executed" id="copy alert_rule_tag v1 to v2" duration=199.474µs
grafana  | logger=migrator t=2025-01-06T19:38:07.607214441Z level=info msg="Executing migration" id="drop table alert_rule_tag_v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.607667144Z level=info msg="Migration successfully executed" id="drop table alert_rule_tag_v1" duration=452.339µs
grafana  | logger=migrator t=2025-01-06T19:38:07.610263327Z level=info msg="Executing migration" id="create alert_notification table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.610901073Z level=info msg="Migration successfully executed" id="create alert_notification table v1" duration=639.719µs
grafana  | logger=migrator t=2025-01-06T19:38:07.613671413Z level=info msg="Executing migration" id="Add column is_default"
grafana  | logger=migrator t=2025-01-06T19:38:07.617291637Z level=info msg="Migration successfully executed" id="Add column is_default" duration=3.616504ms
grafana  | logger=migrator t=2025-01-06T19:38:07.621066837Z level=info msg="Executing migration" id="Add column frequency"
grafana  | logger=migrator t=2025-01-06T19:38:07.623315914Z level=info msg="Migration successfully executed" id="Add column frequency" duration=2.244677ms
grafana  | logger=migrator t=2025-01-06T19:38:07.627278678Z level=info msg="Executing migration" id="Add column send_reminder"
grafana  | logger=migrator t=2025-01-06T19:38:07.630056222Z level=info msg="Migration successfully executed" id="Add column send_reminder" duration=2.77891ms
grafana  | logger=migrator t=2025-01-06T19:38:07.633060497Z level=info msg="Executing migration" id="Add column disable_resolve_message"
grafana  | logger=migrator t=2025-01-06T19:38:07.636911946Z level=info msg="Migration successfully executed" id="Add column disable_resolve_message" duration=3.850529ms
grafana  | logger=migrator t=2025-01-06T19:38:07.640569698Z level=info msg="Executing migration" id="add index alert_notification org_id & name"
grafana  | logger=migrator t=2025-01-06T19:38:07.64181863Z level=info msg="Migration successfully executed" id="add index alert_notification org_id & name" duration=1.248305ms
grafana  | logger=migrator t=2025-01-06T19:38:07.644909933Z level=info msg="Executing migration" id="Update alert table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.64495697Z level=info msg="Migration successfully executed" id="Update alert table charset" duration=52.333µs
grafana  | logger=migrator t=2025-01-06T19:38:07.649247306Z level=info msg="Executing migration" id="Update alert_notification table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.649291663Z level=info msg="Migration successfully executed" id="Update alert_notification table charset" duration=45.596µs
grafana  | logger=migrator t=2025-01-06T19:38:07.654706082Z level=info msg="Executing migration" id="create notification_journal table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.656372081Z level=info msg="Migration successfully executed" id="create notification_journal table v1" duration=1.698407ms
grafana  | logger=migrator t=2025-01-06T19:38:07.662223462Z level=info msg="Executing migration" id="add index notification_journal org_id & alert_id & notifier_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.663363657Z level=info msg="Migration successfully executed" id="add index notification_journal org_id & alert_id & notifier_id" duration=1.139581ms
grafana  | logger=migrator t=2025-01-06T19:38:07.667848783Z level=info msg="Executing migration" id="drop alert_notification_journal"
grafana  | logger=migrator t=2025-01-06T19:38:07.668876537Z level=info msg="Migration successfully executed" id="drop alert_notification_journal" duration=1.027982ms
grafana  | logger=migrator t=2025-01-06T19:38:07.672756327Z level=info msg="Executing migration" id="create alert_notification_state table v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.67418539Z level=info msg="Migration successfully executed" id="create alert_notification_state table v1" duration=1.42818ms
grafana  | logger=migrator t=2025-01-06T19:38:07.678222277Z level=info msg="Executing migration" id="add index alert_notification_state org_id & alert_id & notifier_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.679989317Z level=info msg="Migration successfully executed" id="add index alert_notification_state org_id & alert_id & notifier_id" duration=1.763217ms
grafana  | logger=migrator t=2025-01-06T19:38:07.684053073Z level=info msg="Executing migration" id="Add for to alert table"
grafana  | logger=migrator t=2025-01-06T19:38:07.687410442Z level=info msg="Migration successfully executed" id="Add for to alert table" duration=3.357572ms
grafana  | logger=migrator t=2025-01-06T19:38:07.690690631Z level=info msg="Executing migration" id="Add column uid in alert_notification"
grafana  | logger=migrator t=2025-01-06T19:38:07.693197619Z level=info msg="Migration successfully executed" id="Add column uid in alert_notification" duration=2.507005ms
grafana  | logger=migrator t=2025-01-06T19:38:07.695802445Z level=info msg="Executing migration" id="Update uid column values in alert_notification"
grafana  | logger=migrator t=2025-01-06T19:38:07.695951276Z level=info msg="Migration successfully executed" id="Update uid column values in alert_notification" duration=149.142µs
grafana  | logger=migrator t=2025-01-06T19:38:07.698335895Z level=info msg="Executing migration" id="Add unique index alert_notification_org_id_uid"
grafana  | logger=migrator t=2025-01-06T19:38:07.699037509Z level=info msg="Migration successfully executed" id="Add unique index alert_notification_org_id_uid" duration=701.326µs
grafana  | logger=migrator t=2025-01-06T19:38:07.701563863Z level=info msg="Executing migration" id="Remove unique index org_id_name"
grafana  | logger=migrator t=2025-01-06T19:38:07.702150329Z level=info msg="Migration successfully executed" id="Remove unique index org_id_name" duration=586.186µs
grafana  | logger=migrator t=2025-01-06T19:38:07.704163618Z level=info msg="Executing migration" id="Add column secure_settings in alert_notification"
grafana  | logger=migrator t=2025-01-06T19:38:07.706079988Z level=info msg="Migration successfully executed" id="Add column secure_settings in alert_notification" duration=1.916452ms
grafana  | logger=migrator t=2025-01-06T19:38:07.708463833Z level=info msg="Executing migration" id="alter alert.settings to mediumtext"
grafana  | logger=migrator t=2025-01-06T19:38:07.708512742Z level=info msg="Migration successfully executed" id="alter alert.settings to mediumtext" duration=49.684µs
grafana  | logger=migrator t=2025-01-06T19:38:07.710929483Z level=info msg="Executing migration" id="Add non-unique index alert_notification_state_alert_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.711455154Z level=info msg="Migration successfully executed" id="Add non-unique index alert_notification_state_alert_id" duration=525.553µs
grafana  | logger=migrator t=2025-01-06T19:38:07.713671562Z level=info msg="Executing migration" id="Add non-unique index alert_rule_tag_alert_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.71419568Z level=info msg="Migration successfully executed" id="Add non-unique index alert_rule_tag_alert_id" duration=524.082µs
grafana  | logger=migrator t=2025-01-06T19:38:07.716656124Z level=info msg="Executing migration" id="Drop old annotation table v4"
grafana  | logger=migrator t=2025-01-06T19:38:07.716719979Z level=info msg="Migration successfully executed" id="Drop old annotation table v4" duration=64.332µs
grafana  | logger=migrator t=2025-01-06T19:38:07.719178681Z level=info msg="Executing migration" id="create annotation table v5"
grafana  | logger=migrator t=2025-01-06T19:38:07.719729403Z level=info msg="Migration successfully executed" id="create annotation table v5" duration=550.314µs
grafana  | logger=migrator t=2025-01-06T19:38:07.722140363Z level=info msg="Executing migration" id="add index annotation 0 v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.722722935Z level=info msg="Migration successfully executed" id="add index annotation 0 v3" duration=582.186µs
grafana  | logger=migrator t=2025-01-06T19:38:07.724790647Z level=info msg="Executing migration" id="add index annotation 1 v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.725335383Z level=info msg="Migration successfully executed" id="add index annotation 1 v3" duration=544.307µs
grafana  | logger=migrator t=2025-01-06T19:38:07.727986936Z level=info msg="Executing migration" id="add index annotation 2 v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.728576768Z level=info msg="Migration successfully executed" id="add index annotation 2 v3" duration=589.319µs
grafana  | logger=migrator t=2025-01-06T19:38:07.731228797Z level=info msg="Executing migration" id="add index annotation 3 v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.731868558Z level=info msg="Migration successfully executed" id="add index annotation 3 v3" duration=638.87µs
grafana  | logger=migrator t=2025-01-06T19:38:07.734388045Z level=info msg="Executing migration" id="add index annotation 4 v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.735011277Z level=info msg="Migration successfully executed" id="add index annotation 4 v3" duration=624.638µs
grafana  | logger=migrator t=2025-01-06T19:38:07.737195324Z level=info msg="Executing migration" id="Update annotation table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.73722013Z level=info msg="Migration successfully executed" id="Update annotation table charset" duration=25.441µs
grafana  | logger=migrator t=2025-01-06T19:38:07.739521939Z level=info msg="Executing migration" id="Add column region_id to annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.741433653Z level=info msg="Migration successfully executed" id="Add column region_id to annotation table" duration=1.911381ms
grafana  | logger=migrator t=2025-01-06T19:38:07.74383577Z level=info msg="Executing migration" id="Drop category_id index"
grafana  | logger=migrator t=2025-01-06T19:38:07.744314916Z level=info msg="Migration successfully executed" id="Drop category_id index" duration=478.956µs
grafana  | logger=migrator t=2025-01-06T19:38:07.746570589Z level=info msg="Executing migration" id="Add column tags to annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.748250988Z level=info msg="Migration successfully executed" id="Add column tags to annotation table" duration=1.67927ms
grafana  | logger=migrator t=2025-01-06T19:38:07.750421167Z level=info msg="Executing migration" id="Create annotation_tag table v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.750803752Z level=info msg="Migration successfully executed" id="Create annotation_tag table v2" duration=382.385µs
grafana  | logger=migrator t=2025-01-06T19:38:07.752604989Z level=info msg="Executing migration" id="Add unique index annotation_tag.annotation_id_tag_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.753100214Z level=info msg="Migration successfully executed" id="Add unique index annotation_tag.annotation_id_tag_id" duration=483.509µs
grafana  | logger=migrator t=2025-01-06T19:38:07.75520902Z level=info msg="Executing migration" id="drop index UQE_annotation_tag_annotation_id_tag_id - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.755642615Z level=info msg="Migration successfully executed" id="drop index UQE_annotation_tag_annotation_id_tag_id - v2" duration=433.542µs
grafana  | logger=migrator t=2025-01-06T19:38:07.757819182Z level=info msg="Executing migration" id="Rename table annotation_tag to annotation_tag_v2 - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.761630436Z level=info msg="Migration successfully executed" id="Rename table annotation_tag to annotation_tag_v2 - v2" duration=3.810947ms
grafana  | logger=migrator t=2025-01-06T19:38:07.763525689Z level=info msg="Executing migration" id="Create annotation_tag table v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.763873555Z level=info msg="Migration successfully executed" id="Create annotation_tag table v3" duration=347.521µs
grafana  | logger=migrator t=2025-01-06T19:38:07.765956236Z level=info msg="Executing migration" id="create index UQE_annotation_tag_annotation_id_tag_id - Add unique index annotation_tag.annotation_id_tag_id V3"
grafana  | logger=migrator t=2025-01-06T19:38:07.766395535Z level=info msg="Migration successfully executed" id="create index UQE_annotation_tag_annotation_id_tag_id - Add unique index annotation_tag.annotation_id_tag_id V3" duration=438.831µs
grafana  | logger=migrator t=2025-01-06T19:38:07.768166751Z level=info msg="Executing migration" id="copy annotation_tag v2 to v3"
grafana  | logger=migrator t=2025-01-06T19:38:07.768308234Z level=info msg="Migration successfully executed" id="copy annotation_tag v2 to v3" duration=142.28µs
grafana  | logger=migrator t=2025-01-06T19:38:07.770293413Z level=info msg="Executing migration" id="drop table annotation_tag_v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.770549256Z level=info msg="Migration successfully executed" id="drop table annotation_tag_v2" duration=255.719µs
grafana  | logger=migrator t=2025-01-06T19:38:07.772343473Z level=info msg="Executing migration" id="Update alert annotations and set TEXT to empty"
grafana  | logger=migrator t=2025-01-06T19:38:07.772439867Z level=info msg="Migration successfully executed" id="Update alert annotations and set TEXT to empty" duration=96.458µs
grafana  | logger=migrator t=2025-01-06T19:38:07.774609974Z level=info msg="Executing migration" id="Add created time to annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.776102158Z level=info msg="Migration successfully executed" id="Add created time to annotation table" duration=1.492021ms
grafana  | logger=migrator t=2025-01-06T19:38:07.778203354Z level=info msg="Executing migration" id="Add updated time to annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.779589356Z level=info msg="Migration successfully executed" id="Add updated time to annotation table" duration=1.385766ms
grafana  | logger=migrator t=2025-01-06T19:38:07.781732844Z level=info msg="Executing migration" id="Add index for created in annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.782145238Z level=info msg="Migration successfully executed" id="Add index for created in annotation table" duration=412.159µs
grafana  | logger=migrator t=2025-01-06T19:38:07.784073248Z level=info msg="Executing migration" id="Add index for updated in annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.784446216Z level=info msg="Migration successfully executed" id="Add index for updated in annotation table" duration=372.647µs
grafana  | logger=migrator t=2025-01-06T19:38:07.786623696Z level=info msg="Executing migration" id="Convert existing annotations from seconds to milliseconds"
grafana  | logger=migrator t=2025-01-06T19:38:07.786756428Z level=info msg="Migration successfully executed" id="Convert existing annotations from seconds to milliseconds" duration=132.918µs
grafana  | logger=migrator t=2025-01-06T19:38:07.788546025Z level=info msg="Executing migration" id="Add epoch_end column"
grafana  | logger=migrator t=2025-01-06T19:38:07.790082397Z level=info msg="Migration successfully executed" id="Add epoch_end column" duration=1.535895ms
grafana  | logger=migrator t=2025-01-06T19:38:07.792206291Z level=info msg="Executing migration" id="Add index for epoch_end"
grafana  | logger=migrator t=2025-01-06T19:38:07.792635455Z level=info msg="Migration successfully executed" id="Add index for epoch_end" duration=428.835µs
grafana  | logger=migrator t=2025-01-06T19:38:07.794970605Z level=info msg="Executing migration" id="Make epoch_end the same as epoch"
grafana  | logger=migrator t=2025-01-06T19:38:07.795049242Z level=info msg="Migration successfully executed" id="Make epoch_end the same as epoch" duration=78.993µs
grafana  | logger=migrator t=2025-01-06T19:38:07.796834703Z level=info msg="Executing migration" id="Move region to single row"
grafana  | logger=migrator t=2025-01-06T19:38:07.797005771Z level=info msg="Migration successfully executed" id="Move region to single row" duration=171.593µs
grafana  | logger=migrator t=2025-01-06T19:38:07.799041056Z level=info msg="Executing migration" id="Remove index org_id_epoch from annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.799450094Z level=info msg="Migration successfully executed" id="Remove index org_id_epoch from annotation table" duration=408.75µs
grafana  | logger=migrator t=2025-01-06T19:38:07.80157075Z level=info msg="Executing migration" id="Remove index org_id_dashboard_id_panel_id_epoch from annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.802022291Z level=info msg="Migration successfully executed" id="Remove index org_id_dashboard_id_panel_id_epoch from annotation table" duration=451.487µs
grafana  | logger=migrator t=2025-01-06T19:38:07.803988993Z level=info msg="Executing migration" id="Add index for org_id_dashboard_id_epoch_end_epoch on annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.804446507Z level=info msg="Migration successfully executed" id="Add index for org_id_dashboard_id_epoch_end_epoch on annotation table" duration=458.639µs
grafana  | logger=migrator t=2025-01-06T19:38:07.806757888Z level=info msg="Executing migration" id="Add index for org_id_epoch_end_epoch on annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.807255966Z level=info msg="Migration successfully executed" id="Add index for org_id_epoch_end_epoch on annotation table" duration=497.527µs
grafana  | logger=migrator t=2025-01-06T19:38:07.809073521Z level=info msg="Executing migration" id="Remove index org_id_epoch_epoch_end from annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.809493664Z level=info msg="Migration successfully executed" id="Remove index org_id_epoch_epoch_end from annotation table" duration=421.525µs
grafana  | logger=migrator t=2025-01-06T19:38:07.811812403Z level=info msg="Executing migration" id="Add index for alert_id on annotation table"
grafana  | logger=migrator t=2025-01-06T19:38:07.812297058Z level=info msg="Migration successfully executed" id="Add index for alert_id on annotation table" duration=484.532µs
grafana  | logger=migrator t=2025-01-06T19:38:07.814386805Z level=info msg="Executing migration" id="Increase tags column to length 4096"
grafana  | logger=migrator t=2025-01-06T19:38:07.814432269Z level=info msg="Migration successfully executed" id="Increase tags column to length 4096" duration=50.051µs
grafana  | logger=migrator t=2025-01-06T19:38:07.81622631Z level=info msg="Executing migration" id="create test_data table"
