grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.00896262Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.009305527Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=343.185µs
grafana  | logger=migrator t=2025-01-06T19:38:07.015309856Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2025-01-06T19:38:07.016757043Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=1.44887ms
grafana  | logger=migrator t=2025-01-06T19:38:07.024459248Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.024504525Z level=info msg="Migration successfully executed" id="Update user table charset" duration=47.923µs
grafana  | logger=migrator t=2025-01-06T19:38:07.0318621Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.032521537Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=659.686µs
grafana  | logger=migrator t=2025-01-06T19:38:07.035660695Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2025-01-06T19:38:07.035874941Z level=info msg="Migration successfully executed" id="Add missing user data" duration=215.039µs
grafana  | logger=migrator t=2025-01-06T19:38:07.037917539Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.038532448Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=614.675µs
grafana  | logger=migrator t=2025-01-06T19:38:07.040375844Z level=info msg="Executing migration" id="Add index user.login/user.email"
grafana  | logger=migrator t=2025-01-06T19:38:07.040803059Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=426.739µs
grafana  | logger=migrator t=2025-01-06T19:38:07.043039151Z level=info msg="Executing migration" id="Add is_service_account column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.043571211Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=531.84µs
grafana  | logger=migrator t=2025-01-06T19:38:07.045761333Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
grafana  | logger=migrator t=2025-01-06T19:38:07.050570937Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=4.807971ms
grafana  | logger=migrator t=2025-01-06T19:38:07.053834994Z level=info msg="Executing migration" id="Add uid column to user"
grafana  | logger=migrator t=2025-01-06T19:38:07.054427311Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=592.488µs
grafana  | logger=migrator t=2025-01-06T19:38:07.057959047Z level=info msg="Executing migration" id="Update uid column values for users"
grafana  | logger=migrator t=2025-01-06T19:38:07.058109222Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=151.165µs
grafana  | logger=migrator t=2025-01-06T19:38:07.066237366Z level=info msg="Executing migration" id="Add unique index user_uid"
grafana  | logger=migrator t=2025-01-06T19:38:07.067144685Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=912.301µs
grafana  | logger=migrator t=2025-01-06T19:38:07.071684564Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
grafana  | logger=migrator t=2025-01-06T19:38:07.071979511Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=297.997µs
grafana  | logger=migrator t=2025-01-06T19:38:07.074999776Z level=info msg="Executing migration" id="update login and email fields to lowercase"
grafana  | logger=migrator t=2025-01-06T19:38:07.075194148Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=195.192µs
grafana  | logger=migrator t=2025-01-06T19:38:07.07787987Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
grafana  | logger=migrator t=2025-01-06T19:38:07.078025457Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=146.063µs
grafana  | logger=migrator t=2025-01-06T19:38:07.079983763Z level=info msg="Executing migration" id="create temp user table v1-7"
grafana  | logger=migrator t=2025-01-06T19:38:07.080375333Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=391.253µs
grafana  | logger=migrator t=2025-01-06T19:38:07.082347511Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
grafana  | logger=migrator t=2025-01-06T19:38:07.082702011Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=354.509µs
grafana  | logger=migrator t=2025-01-06T19:38:07.084671444Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
grafana  | logger=migrator t=2025-01-06T19:38:07.085056133Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=381.627µs
